연번,과목명,등록일
1,민법,2014-08-31
2,행정소송법,2014-08-31
3,회계학 1부,2014-08-31
4,회계학 2부,2014-08-31
5,세법학 1부,2014-08-31
6,세법학 2부,2014-08-31
7,관광법규,2014-08-31
8,관광자원해설,2014-08-31
9,호텔인사및조직관리론,2014-08-31
10,호텔마케팅론,2014-08-31
11,관광법규,2014-08-31
12,호텔회계론,2014-08-31
13,국사,2014-08-31
14,관광법규,2014-08-31
15,수처리공정,2014-08-31
16,수질분석 및 관리,2014-08-31
17,"설비운영(기계,장치 또는 계측기 등)",2014-08-31
18,정수시설 수리학,2014-08-31
19,법학개론,2014-08-31
20,민간경비론,2014-08-31
21,경비업법(청원경찰법포함),2014-08-31
22,소방학,2014-08-31
23,범죄학,2014-08-31
24,경호학,2014-08-31
25,기계경비개론,2014-08-31
26,기계경비기획및설계,2014-08-31
27,면접(전체),2014-08-31
28,문화재보호법,2014-08-31
29,한국사,2014-08-31
30,한국건축사,2014-08-31
31,조경사,2014-08-31
32,화학,2014-08-31
33,농약학,2014-08-31
34,한국건축시공,2014-08-31
35,한국건축구조,2014-08-31
36,색채론,2014-08-31
37,도학,2014-08-31
38,한국건축설계제도,2014-08-31
39,한국건축실측,2014-08-31
40,조경설계 및 시공,2014-08-31
41,전통조경,2014-08-31
42,보존과학개론,2014-08-31
43,문화재수복기술개론,2014-08-31
44,수목생리,2014-08-31
45,수목병충해,2014-08-31
46,독점규제및공정거래에관한 법령,2014-08-31
47,민법,2014-08-31
48,경영학,2014-08-31
49,가맹사업거래의 공정화에 관한 법령 및 실무,2014-08-31
50,가맹계약에 관한 이론 및 실무,2014-08-31
51,작업(전체),2014-08-31
52,필답(전체),2014-08-31
53,노동법I(1차),2014-08-31
54,노동법II(1차),2014-08-31
55,경제학원론,2014-08-31
56,민법,2014-08-31
57,"호텔실무(현관,객실,식당 중심)",2014-08-31
58,검수에 관한 일반적 지식,2014-08-31
59,영어,2014-08-31
60,선박의 구조 및 흘수계산방법,2014-08-31
61,검량에 관한 일반적 지식,2014-08-31
62,영어,2014-08-31
63,전문분야의 해당과목,2014-08-31
64,감정에 관한 일반적 지식,2014-08-31
65,선박에 의한 유류오염손해배상에 관한 일반지식,2014-08-31
66,호텔인사및조직관리론,2014-08-31
67,호텔관리론,2014-08-31
68,관광법규,2014-08-31
69,관광학개론,2014-08-31
70,관광법규,2014-08-31
71,"호텔실무(현관,객실,식당중심)",2014-08-31
72,영어,2014-08-31
73,인사노무관리론,2014-08-31
74,경영조직론,2014-08-31
75,노동경제학,2014-08-31
76,행정쟁송법,2014-08-31
77,부동산학개론,2014-08-31
78,민법및민사특별법,2014-08-31
79,공인중개사의업무및부동산거래신고에관한법령및중개실무,2014-08-31
80,부동산공시에관한법령및부동산관련세법,2014-08-31
81,부동산공법중부동산중개에관련되는규정,2014-08-31
82,방사성동위원소 및 방사선에 관한 사항(의학),2014-08-31
83,방사성동위원소 및 방사선에 관한 사항(치의학),2014-08-31
84,방사선에의한장해및그방어,2014-08-31
85,방사성동위원소등을의학적으로인체에사용하는기술,2014-08-31
86,원자력관계법령,2014-08-31
87,방사성동위원소 및 방사선취급기술기초,2014-08-31
88,방사선장해방어기초,2014-08-31
89,원자력기초이론,2014-08-31
90,원자력이론,2014-08-31
91,방사성동위원소및방사선의취급기술및측정기술,2014-08-31
92,소방학 개론,2014-08-31
93,구급 및 응급처치론,2014-08-31
94,재난관리론,2014-08-31
95,교육학 원론,2014-08-31
96,심리학 개론,2014-08-31
97,소방안전관리론 및 화재역학,2014-08-31
98,소방수리학.약제화학 및 소방전기,2014-08-31
99,소방관련법령,2014-08-31
100,위험물의 성상 및 시설기준,2014-08-31
101,소방시설의 구조원리,2014-08-31
102,소방시설의 점검실무행정,2014-08-31
103,소방시설의 설계 및 시공,2014-08-31
104,박물관학,2014-08-31
105,영어,2014-08-31
106,불어,2014-08-31
107,독어,2014-08-31
108,경제법,2014-08-31
109,일어,2014-08-31
110,중국어,2014-08-31
111,한문,2014-08-31
112,스페인어,2014-08-31
113,러시아어,2014-08-31
114,이탈리아어,2014-08-31
115,고고학,2014-08-31
116,미술사학,2014-08-31
117,예술학,2014-08-31
118,민속학,2014-08-31
119,서지학,2014-08-31
120,한국사,2014-08-31
121,인류학,2014-08-31
122,자연사,2014-08-31
123,과학사,2014-08-31
124,문화사,2014-08-31
125,보존과학,2014-08-31
126,전시기획론,2014-08-31
127,농산물품질관리법령 및 농수산물유통 및 가격안정에 관한 법령,2014-08-31
128,원예학개론(수확후의 품질관리론 포함),2014-08-31
129,농산물유통론,2014-08-31
130,중소기업관련법령,2014-08-31
131,회계학개론,2014-08-31
132,경영학,2014-08-31
133,기업진단론,2014-08-31
134,조사방법론,2014-08-31
135,영어,2014-08-31
136,인사관리,2014-08-31
137,조직행동론,2014-08-31
138,노사관계론,2014-08-31
139,재무관리,2014-08-31
140,"회계학(재무회계,관리회계 포함)",2014-08-31
141,세법(세무회계 포함),2014-08-31
142,생산관리,2014-08-31
143,품질경영,2014-08-31
144,경영과학,2014-08-31
145,마케팅관리론,2014-08-31
146,시장조사론,2014-08-31
147,소비자행동론,2014-08-31
148,중소기업관련법령,2014-08-31
149,공업경영학,2014-08-31
150,자연과학개론,2014-08-31
151,기업진단론,2014-08-31
152,조사방법론,2014-08-31
153,영어,2014-08-31
154,기계공작법,2014-08-31
155,호텔마케팅론,2014-08-31
156,관광학개론,2014-08-31
157,한국어학,2014-08-31
158,일반언어학 및 응용언어학,2014-08-31
159,외국어로서의 한국어교육론,2014-08-31
160,한국문화,2014-08-31
161,노동법I(2차),2014-08-31
162,노동법II(2차),2014-08-31
163,재료역학,2014-08-31
164,기계설계,2014-08-31
165,일반금속재료,2014-08-31
166,금속가공,2014-08-31
167,금속열처리,2014-08-31
168,전기기기,2014-08-31
169,전기전자재료,2014-08-31
170,공업계측제어,2014-08-31
171,섬유재료학,2014-08-31
172,염색가공,2014-08-31
173,섬유시험법,2014-08-31
174,유기고분자공업,2014-08-31
175,무기재료공업,2014-08-31
176,화학공업양론,2014-08-31
177,품질관리,2014-08-31
178,생산계획,2014-08-31
179,수요관리,2014-08-31
180,정보통신개론,2014-08-31
181,시스템응용,2014-08-31
182,기계요소설계및유체기계,2014-08-31
183,다듬질가공법,2014-08-31
184,다듬질가공법및안전관리,2014-08-31
185,단위공장,2014-08-31
186,단위조작,2014-08-31
187,단조설비,2014-08-31
188,단조작업법,2014-08-31
189,도시설계및단지계획,2014-08-31
190,"내연기관,유압기기,건설기계일반및건설관계법규에관한사항",2014-08-31
191,"내연기관,유압기기,기계공작법및건설관계법규에관한사항",2014-08-31
192,"내연기관,유체기계및기계공작법에관한사항",2014-08-31
193,"내연기관,중기정비및중비관계법규",2014-08-31
194,담배기계정비,2014-08-31
195,담배제조기계,2014-08-31
196,담배제조기계운전지침,2014-08-31
197,담배제조기계정비,2014-08-31
198,담배제조론,2014-08-31
199,담배품질관리론,2014-08-31
200,내연기관및CAD,2014-08-31
201,내연기관및금속재료,2014-08-31
202,내연기관및기계재료,2014-08-31
